run_id,model_configuration,sample,task_id,oracle_class,configured_rules,functional,contributing_oracle,gap_member,finding_rules,lint,lint_findings
deepseek-coder-v2-16b--sample-01,deepseek-coder-v2-16b,1,command_deadline,temporal,REF-TEMP-001,compile_error,tool_error,False,,fail,2
deepseek-coder-v2-16b--sample-01,deepseek-coder-v2-16b,1,completion_pulse,temporal,REF-TEMP-002,fail,pass,False,,pass,0
deepseek-coder-v2-16b--sample-01,deepseek-coder-v2-16b,1,grant_deadline,temporal,REF-TEMP-001,pass,fail,True,REF-TEMP-001,pass,0
deepseek-coder-v2-16b--sample-01,deepseek-coder-v2-16b,1,irq_pulse,temporal,REF-TEMP-002,pass,pass,False,,pass,0
deepseek-coder-v2-16b--sample-01,deepseek-coder-v2-16b,1,opcode_unit,equivalence,REF-EQUIV-001,pass,pass,False,,pass,0
deepseek-coder-v2-16b--sample-01,deepseek-coder-v2-16b,1,result_hold,protocol,REF-PROT-001,fail,fail,False,REF-PROT-001,pass,0
deepseek-coder-v2-16b--sample-01,deepseek-coder-v2-16b,1,signed_clamp,equivalence,REF-EQUIV-001,pass,pass,False,,pass,0
deepseek-coder-v2-16b--sample-01,deepseek-coder-v2-16b,1,stream_hold,protocol,REF-PROT-001,fail,tool_error,False,,pass,2
deepseek-coder-v2-16b--sample-02,deepseek-coder-v2-16b,2,command_deadline,temporal,REF-TEMP-001,compile_error,tool_error,False,,fail,2
deepseek-coder-v2-16b--sample-02,deepseek-coder-v2-16b,2,completion_pulse,temporal,REF-TEMP-002,pass,pass,False,,pass,0
deepseek-coder-v2-16b--sample-02,deepseek-coder-v2-16b,2,grant_deadline,temporal,REF-TEMP-001,pass,fail,True,REF-TEMP-001,pass,0
deepseek-coder-v2-16b--sample-02,deepseek-coder-v2-16b,2,irq_pulse,temporal,REF-TEMP-002,pass,pass,False,,pass,0
deepseek-coder-v2-16b--sample-02,deepseek-coder-v2-16b,2,opcode_unit,equivalence,REF-EQUIV-001,pass,pass,False,,pass,0
deepseek-coder-v2-16b--sample-02,deepseek-coder-v2-16b,2,result_hold,protocol,REF-PROT-001,pass,fail,True,REF-PROT-001,pass,1
deepseek-coder-v2-16b--sample-02,deepseek-coder-v2-16b,2,signed_clamp,equivalence,REF-EQUIV-001,pass,pass,False,,pass,0
deepseek-coder-v2-16b--sample-02,deepseek-coder-v2-16b,2,stream_hold,protocol,REF-PROT-001,pass,tool_error,False,,pass,0
gpt-5.6-sol--sample-01,gpt-5.6-sol,1,command_deadline,temporal,REF-TEMP-001,pass,pass,False,,pass,0
gpt-5.6-sol--sample-01,gpt-5.6-sol,1,completion_pulse,temporal,REF-TEMP-002,pass,pass,False,,pass,0
gpt-5.6-sol--sample-01,gpt-5.6-sol,1,grant_deadline,temporal,REF-TEMP-001,pass,pass,False,,pass,0
gpt-5.6-sol--sample-01,gpt-5.6-sol,1,irq_pulse,temporal,REF-TEMP-002,pass,pass,False,,pass,0
gpt-5.6-sol--sample-01,gpt-5.6-sol,1,opcode_unit,equivalence,REF-EQUIV-001,pass,pass,False,,pass,0
gpt-5.6-sol--sample-01,gpt-5.6-sol,1,result_hold,protocol,REF-PROT-001,pass,pass,False,,pass,0
gpt-5.6-sol--sample-01,gpt-5.6-sol,1,signed_clamp,equivalence,REF-EQUIV-001,pass,pass,False,,pass,0
gpt-5.6-sol--sample-01,gpt-5.6-sol,1,stream_hold,protocol,REF-PROT-001,pass,pass,False,,pass,0
gpt-5.6-sol--sample-02,gpt-5.6-sol,2,command_deadline,temporal,REF-TEMP-001,pass,pass,False,,pass,0
gpt-5.6-sol--sample-02,gpt-5.6-sol,2,completion_pulse,temporal,REF-TEMP-002,pass,pass,False,,pass,0
gpt-5.6-sol--sample-02,gpt-5.6-sol,2,grant_deadline,temporal,REF-TEMP-001,pass,pass,False,,pass,0
gpt-5.6-sol--sample-02,gpt-5.6-sol,2,irq_pulse,temporal,REF-TEMP-002,pass,pass,False,,pass,0
gpt-5.6-sol--sample-02,gpt-5.6-sol,2,opcode_unit,equivalence,REF-EQUIV-001,pass,pass,False,,pass,0
